unique_id,model,ME,MAE,RMSE,MAPE
hotel_35,SeasonalNaive,0.08162667410714286,0.16823381696428572,0.19810813113409184,23.742467823317703
hotel_35,AutoARIMA,0.1699547086869798,0.1850359194924023,0.23749096396698666,24.234280982295633
hotel_42,LGBMRegressor,0.0017974747823565928,0.19947388835021135,0.2410077397773506,38.830335144667075
hotel_42,NBEATS,0.05168446326545375,0.20997971022591005,0.2600243268369088,36.95666081886567
hotel_42,AutoARIMA,0.04328208342845107,0.22107102566900952,0.25677455986185943,41.952364629015214
hotel_42,NHITS,0.06878401597346646,0.24303983026170678,0.322112236019485,43.14627868526358
hotel_42,AutoETS,0.1377182447427834,0.2709041382417695,0.3236070793386512,44.29062776712702
hotel_42,Naive,0.11200115673799882,0.2825621746674378,0.345949158007164,48.05921362094949
hotel_42,SeasonalNaive,0.05786581839213419,0.29170040485829957,0.3568743649049122,52.40136821985306
hotel_49,AutoETS,-0.0353983426659382,0.07828940220367667,0.09665467534847777,11.344632101313772
hotel_49,NBEATS,-0.06435162607424717,0.07974266217822815,0.10391284419142367,11.731150040193313
hotel_49,AutoARIMA,-0.05532913042666074,0.07983929005170007,0.10294081433352015,11.923679998426625
hotel_49,NHITS,-0.07168269041769965,0.0859887187360453,0.11042710414802523,12.786542739939094
hotel_49,LGBMRegressor,-0.062266869044961225,0.08667109534679064,0.10588175231735365,12.591777553408201
hotel_49,SeasonalNaive,-0.046412975670617584,0.09320024953212727,0.11934837574446511,13.613257297216496
hotel_49,Naive,-0.08197130380536498,0.09831565814098567,0.12261114721973759,14.645699014009391
hotel_56,NBEATS,-0.0050207435233252445,0.049470721057483125,0.0742687342895978,5.801146977727898
hotel_56,NHITS,-0.00762660580021995,0.050584075025149756,0.07747184846231066,5.948523386568524
hotel_56,Naive,-0.017797619047619055,0.06089285714285716,0.0956571880155779,7.282582397244969
hotel_56,SeasonalNaive,0.00363095238095238,0.06244047619047619,0.10659083986373849,7.173466463619837
hotel_56,AutoETS,0.01266627970148968,0.06493355105470357,0.08776202043787588,7.301679970631896
hotel_56,AutoARIMA,0.012868217162626566,0.06565301706574105,0.08283970133565677,7.472729704951213
hotel_56,LGBMRegressor,0.0219124319570279,0.06587738536126987,0.09748791388677697,7.404609292138692
hotel_63,NHITS,-0.015186102354337296,0.12869915607808127,0.1604965973359502,20.00343726072754
hotel_63,LGBMRegressor,0.01218926673168972,0.129974288291015,0.1612203489971747,19.73939098923178
hotel_63,NBEATS,-0.010159307384301744,0.14101918753650453,0.17322246427390767,21.08824188792702
hotel_63,AutoETS,0.01240943902371155,0.14186446619271958,0.17221762583817823,21.643517612442526
hotel_63,AutoARIMA,-0.0005058784844907611,0.152662493954949,0.18184515190392764,24.16949956726435
hotel_63,Naive,-0.10285714285714287,0.1737142857142857,0.22589910500871618,30.29948525555046
hotel_63,SeasonalNaive,0.028063492063492068,0.17936507936507934,0.22681227815929525,26.866369407690144
hotel_7,AutoARIMA,-0.007577630711690613,0.12256775441986711,0.14341711998206444,29.888291616298456
hotel_7,NHITS,-0.01149371945411452,0.13214468259612255,0.16450656049672355,31.241428225627725
hotel_7,NBEATS,-0.029066061100581457,0.13711340567257416,0.17060733290521507,32.63175669258482
hotel_7,AutoETS,-0.04591221250189722,0.13728291703320739,0.16626573153156438,34.68102428411875
hotel_7,SeasonalNaive,-0.04416007445323406,0.1419962773382969,0.17945245516275857,34.58506950949234
hotel_7,LGBMRegressor,-0.07770459084814045,0.14792495677592504,0.19094594638744253,39.28266269503986
hotel_7,Naive,-0.15774778966961378,0.18206142391810143,0.23415892820300846,50.59417706363587
hotel_70,Naive,0.014473684210526328,0.06466165413533835,0.08358029623771338,16.453156051306184
hotel_70,AutoARIMA,0.03846842831581909,0.07459188250318866,0.09934325065446103,18.102239397324173
hotel_70,LGBMRegressor,0.035256000351712384,0.07586796902701402,0.09960250095184586,17.677068275386617
hotel_70,AutoETS,0.08645781751010878,0.09423327262166989,0.1180106564129263,21.64294684587803
hotel_70,NHITS,0.03892250106224141,0.09591763834083887,0.12230787458223746,23.9906356401468
hotel_70,NBEATS,0.04589623023842212,0.10086661746776791,0.12601420563258856,25.32721330890242
hotel_70,SeasonalNaive,0.05294486215538848,0.10983709273182958,0.1404154769878485,26.4936954149954
hotel_84,NHITS,0.021705266924642183,0.12475020108957194,0.15231809788387635,19.12693014056174
hotel_84,LGBMRegressor,0.05381065609596502,0.1308184799308499,0.16318659336346025,18.826751954378654
hotel_84,AutoARIMA,0.046595823851283316,0.13423770580488906,0.16477529388537107,19.638932735941687
hotel_84,AutoETS,0.061136091737932524,0.14139363924469425,0.1715509973313001,20.467176432577197
hotel_84,Naive,-0.04819574888779043,0.15165595650024719,0.200608928193706,25.64336871028981
hotel_84,SeasonalNaive,0.031389026198714774,0.15748887790410282,0.1960309810477694,22.92448020046254
hotel_84,NBEATS,-0.08620609333918229,0.16524183980115145,0.2140401591637167,28.442839960354966
hotel_91,NBEATS,-0.003829947281419567,0.13393739683861527,0.17752194919374037,19.033070364409724
hotel_91,NHITS,0.004311076064936414,0.13954789676310353,0.17550880638185162,19.320624096005155
hotel_91,AutoETS,-0.0027292534735572104,0.14274165304064823,0.19231867848097578,19.914198761550022
hotel_91,LGBMRegressor,0.034214941270100496,0.15011577216828498,0.1822699044123517,19.772425009615898
hotel_91,AutoARIMA,0.030726696069644382,0.15093557377541195,0.1843827396950269,20.534054774384384
hotel_91,Naive,-0.014767255216693443,0.1595505617977528,0.22121261046147234,22.878634193261124
hotel_91,SeasonalNaive,0.027929373996789724,0.19357945425361156,0.24776673069936608,25.258968497667112
hotel_98,AutoARIMA,0.022918685309188547,0.11302399359000206,0.15005568227238655,54.10606666177973
hotel_98,NHITS,0.046903265477050836,0.12252263579912451,0.1656955527854555,61.00017671031094
hotel_98,NBEATS,0.04252436692882243,0.12648186445373547,0.17526955349664017,58.94709989461367
hotel_98,SeasonalNaive,0.008640552995391704,0.1476958525345622,0.20490854791170643,69.83018434199327
hotel_98,AutoETS,0.017762561348150616,0.15439095696346544,0.18915448480096714,74.14850622154509
hotel_98,LGBMRegressor,-0.0417427484031577,0.16052999042704336,0.1863826436478931,98.41478375648792
hotel_98,Naive,-0.06301843317972348,0.1846774193548387,0.21722502220517337,108.56597206679585
