index_x,unique_id,ds,Naive,SeasonalNaive,AutoARIMA,AutoETS,index_y,LGBMRegressor,index,NBEATS,NHITS
301,hotel_49,2023-06-24,0.7336244541484717,0.6026200873362445,0.6204996447496253,0.7381262854559625,301,0.7675432556481804,301,0.7513205,0.75210387
302,hotel_49,2023-06-25,0.7336244541484717,0.5982532751091703,0.6165196797661703,0.6469264161174458,302,0.5694469086604499,302,0.6197614,0.6141215
303,hotel_49,2023-06-26,0.7336244541484717,0.4585152838427948,0.6090687044912664,0.637129228474408,303,0.6384429704717303,303,0.6199273,0.6032406
304,hotel_49,2023-06-27,0.7336244541484717,0.5327510917030568,0.6112478559014854,0.6616359970623615,304,0.6956705694268094,304,0.6310986,0.6338094
305,hotel_49,2023-06-28,0.7336244541484717,0.611353711790393,0.6140955382265253,0.6611476395418645,305,0.7044160434274376,305,0.6375081,0.6584954
306,hotel_49,2023-06-29,0.7336244541484717,0.6637554585152838,0.6164279847193974,0.6762703554162109,306,0.6977341314957469,306,0.69503474,0.6775942
307,hotel_49,2023-06-30,0.7336244541484717,0.7336244541484717,0.619789937912996,0.7278446064543925,307,0.7317067474018365,307,0.76291746,0.74258757
308,hotel_56,2023-06-03,0.9416666666666667,1.0083333333333333,0.9503474030972839,0.9225575267579209,308,0.9244698977966462,308,0.97327954,0.96549636
309,hotel_56,2023-06-04,0.9416666666666667,0.975,0.8919645707184545,0.7934296645717199,309,0.7227910897841139,309,0.86079925,0.82412887
310,hotel_56,2023-06-05,0.9416666666666667,0.6,0.8278417238048662,0.8186381137190706,310,0.7965759550572896,310,0.88393784,0.87956864
311,hotel_56,2023-06-06,0.9416666666666667,0.8333333333333334,0.8843222454422552,0.8563804883667919,311,0.8344995361342862,311,0.93123704,0.938575
312,hotel_56,2023-06-07,0.9416666666666667,0.85,0.8935828209017095,0.8750441218515934,312,0.8341879164651632,312,0.9241154,0.9171962
313,hotel_56,2023-06-08,0.9416666666666667,0.8583333333333333,0.9218154843201023,0.878815493250656,313,0.8645786108852946,313,0.9100792,0.90977204
314,hotel_56,2023-06-09,0.9416666666666667,0.9416666666666667,0.9365628775485957,0.9061319672670852,314,0.918070930936521,314,0.94585484,0.97424585
315,hotel_56,2023-06-10,0.9416666666666667,1.0083333333333333,0.9505874778167926,0.9225575267579209,315,0.9427474383549087,315,0.9693712,0.97064054
316,hotel_56,2023-06-11,0.9416666666666667,0.975,0.9275224659036219,0.7934296645717199,316,0.7550373640095717,316,0.82631665,0.83031595
317,hotel_56,2023-06-12,0.9416666666666667,0.6,0.8441027940013087,0.8186381137190706,317,0.7341542282538553,317,0.87784743,0.8813714
318,hotel_56,2023-06-13,0.9416666666666667,0.8333333333333334,0.9009349924149916,0.8563804883667919,318,0.7916533886037798,318,0.9101379,0.9328618
319,hotel_56,2023-06-14,0.9416666666666667,0.85,0.9065471311364312,0.8750441218515934,319,0.8054010832149913,319,0.91123796,0.91458386
320,hotel_56,2023-06-15,0.9416666666666667,0.8583333333333333,0.9163649115766006,0.878815493250656,320,0.8139948280742851,320,0.8912117,0.9109718
321,hotel_56,2023-06-16,0.9416666666666667,0.9416666666666667,0.93505065859934,0.9061319672670852,321,0.9039627078993164,321,0.9437254,0.9697166
322,hotel_56,2023-06-17,0.9416666666666667,1.0083333333333333,0.9407071470648951,0.9225575267579209,322,0.9198058119212635,322,0.9536085,0.9699006
323,hotel_56,2023-06-18,0.9416666666666667,0.975,0.9238333520568591,0.7934296645717199,323,0.6909195676259656,323,0.82596606,0.8162287
324,hotel_56,2023-06-19,0.9416666666666667,0.6,0.8880442944720316,0.8186381137190706,324,0.7374139342266435,324,0.89343053,0.87322825
325,hotel_56,2023-06-20,0.9416666666666667,0.8333333333333334,0.9146229953242716,0.8563804883667919,325,0.7986091736098067,325,0.9099302,0.91525596
326,hotel_56,2023-06-21,0.9416666666666667,0.85,0.9178798585162993,0.8750441218515934,326,0.8090195609229247,326,0.8976325,0.91297317
327,hotel_56,2023-06-22,0.9416666666666667,0.8583333333333333,0.9256427798062691,0.878815493250656,327,0.8152958838599506,327,0.88855386,0.9147934
328,hotel_56,2023-06-23,0.9416666666666667,0.9416666666666667,0.9337253468018191,0.9061319672670852,328,0.8825987396640859,328,0.93452805,0.96991765
329,hotel_56,2023-06-24,0.9416666666666667,1.0083333333333333,0.937813155072257,0.9225575267579209,329,0.898311921577934,329,0.96770513,0.9673239
330,hotel_56,2023-06-25,0.9416666666666667,0.975,0.9288411128048072,0.7934296645717199,330,0.6712653369507471,330,0.84349453,0.82747245
331,hotel_56,2023-06-26,0.9416666666666667,0.6,0.9038895874624496,0.8186381137190706,331,0.6971041007857004,331,0.88222647,0.88277596
332,hotel_56,2023-06-27,0.9416666666666667,0.8333333333333334,0.9215410489532887,0.8563804883667919,332,0.7460081758911583,332,0.91351986,0.9203749
333,hotel_56,2023-06-28,0.9416666666666667,0.85,0.9234719404625983,0.8750441218515934,333,0.7702062713622069,333,0.9156591,0.912737
334,hotel_56,2023-06-29,0.9416666666666667,0.8583333333333333,0.9274633972292389,0.878815493250656,334,0.771977013024787,334,0.9180573,0.91135
335,hotel_56,2023-06-30,0.9416666666666667,0.9416666666666667,0.9330720473837746,0.9061319672670852,335,0.8692456806298102,335,0.955951,0.9702712
336,hotel_63,2023-06-03,0.7111111111111111,0.9644444444444444,0.8586949444834129,0.8117287079900483,336,0.8744196426218043,336,0.84184456,0.8679567
337,hotel_63,2023-06-04,0.7111111111111111,0.9288888888888889,0.8115136028888164,0.5180816994569175,337,0.7253082232350697,337,0.57228285,0.5816075
338,hotel_63,2023-06-05,0.7111111111111111,0.5244444444444445,0.7575735918476264,0.5247584954827331,338,0.7507291803149583,338,0.71488464,0.6580708
339,hotel_63,2023-06-06,0.7111111111111111,0.6311111111111111,0.7989148367584626,0.5959512644452947,339,0.8174587963166944,339,0.8869816,0.76084596
340,hotel_63,2023-06-07,0.7111111111111111,0.6488888888888888,0.7764628958332436,0.612981407980453,340,0.8242127506666017,340,0.9114803,0.8085587
341,hotel_63,2023-06-08,0.7111111111111111,0.6888888888888889,0.7240717837642617,0.6152190494748339,341,0.7947457540481105,341,0.8670977,0.79713285
342,hotel_63,2023-06-09,0.7111111111111111,0.7111111111111111,0.8158805707206983,0.7585084269735789,342,0.8560842905968149,342,0.9910978,0.90660733
343,hotel_63,2023-06-10,0.7111111111111111,0.9644444444444444,0.8723821619399548,0.8117287079900483,343,0.9034550128110573,343,1.0428346,0.96213764
344,hotel_63,2023-06-11,0.7111111111111111,0.9288888888888889,0.8442174344670651,0.5180816994569175,344,0.6948050426164303,344,0.71432936,0.6461779
345,hotel_63,2023-06-12,0.7111111111111111,0.5244444444444445,0.7096778628345635,0.5247584954827331,345,0.6915693985315472,345,0.76743877,0.6867604
346,hotel_63,2023-06-13,0.7111111111111111,0.6311111111111111,0.7535743680413297,0.5959512644452947,346,0.7444053434710687,346,0.9265375,0.7960948
347,hotel_63,2023-06-14,0.7111111111111111,0.6488888888888888,0.7526417473795484,0.612981407980453,347,0.7717318189679359,347,0.9306568,0.8224847
348,hotel_63,2023-06-15,0.7111111111111111,0.6888888888888889,0.7487319530207424,0.6152190494748339,348,0.7786771477159389,348,0.90229505,0.806175
349,hotel_63,2023-06-16,0.7111111111111111,0.7111111111111111,0.7858367919693504,0.7585084269735789,349,0.8655605601021565,349,1.0095937,0.91032577
350,hotel_63,2023-06-17,0.7111111111111111,0.9644444444444444,0.8471527769097424,0.8117287079900483,350,0.8575035653300985,350,1.0250831,0.96587586
351,hotel_63,2023-06-18,0.7111111111111111,0.9288888888888889,0.825286354677831,0.5180816994569175,351,0.6759715061583541,351,0.6527249,0.6291932
352,hotel_63,2023-06-19,0.7111111111111111,0.5244444444444445,0.7670603868243249,0.5247584954827331,352,0.7317545129179704,352,0.72850114,0.682332
353,hotel_63,2023-06-20,0.7111111111111111,0.6311111111111111,0.793210030557016,0.5959512644452947,353,0.786675988067335,353,0.84925485,0.7653129
354,hotel_63,2023-06-21,0.7111111111111111,0.6488888888888888,0.7866820084243686,0.612981407980453,354,0.8052464797484729,354,0.896397,0.80030304
355,hotel_63,2023-06-22,0.7111111111111111,0.6888888888888889,0.7706530593852332,0.6152190494748339,355,0.7962418353944687,355,0.9245868,0.79883903
356,hotel_63,2023-06-23,0.7111111111111111,0.7111111111111111,0.8090525630944708,0.7585084269735789,356,0.8672969870188518,356,1.0073416,0.89560366
357,hotel_63,2023-06-24,0.7111111111111111,0.9644444444444444,0.8451871941658534,0.8117287079900483,357,0.9012873975814671,357,1.1159898,0.9645343
358,hotel_63,2023-06-25,0.7111111111111111,0.9288888888888889,0.8304536937881127,0.5180816994569175,358,0.7375796384698614,358,0.7373799,0.6442224
359,hotel_63,2023-06-26,0.7111111111111111,0.5244444444444445,0.7736666631871116,0.5247584954827331,359,0.7784928702106392,359,0.7686217,0.6666221
360,hotel_63,2023-06-27,0.7111111111111111,0.6311111111111111,0.7949825647573114,0.5959512644452947,360,0.8152032574164328,360,0.9335599,0.7545825
361,hotel_63,2023-06-28,0.7111111111111111,0.6488888888888888,0.7929917839079772,0.612981407980453,361,0.8237505612483815,361,0.910825,0.8043485
362,hotel_63,2023-06-29,0.7111111111111111,0.6888888888888889,0.7870927785701414,0.6152190494748339,362,0.7967100091445153,362,0.8562425,0.7810823
363,hotel_63,2023-06-30,0.7111111111111111,0.7111111111111111,0.8103862975784552,0.7585084269735789,363,0.8689803727521248,363,1.0072324,0.8864023
364,hotel_7,2023-06-03,0.8094462540716613,0.750814332247557,0.7313032124017695,0.7270081556901234,364,0.7912499094554499,364,0.7010205,0.710239
365,hotel_7,2023-06-04,0.8094462540716613,0.7785016286644951,0.7123706216123835,0.7080671679310537,365,0.5802342776012247,365,0.6992884,0.6716093
366,hotel_7,2023-06-05,0.8094462540716613,0.6237785016286646,0.5740219189997546,0.5797217911384903,366,0.5182899808463061,366,0.5545765,0.5568144
367,hotel_7,2023-06-06,0.8094462540716613,0.6270358306188925,0.5420800910664951,0.571969959588913,367,0.5543950717061099,367,0.5480945,0.5112715
368,hotel_7,2023-06-07,0.8094462540716613,0.6449511400651465,0.6430691941508802,0.7372719503055183,368,0.6387582297237174,368,0.68967223,0.654077
369,hotel_7,2023-06-08,0.8094462540716613,0.7980456026058632,0.6854671672477379,0.776442840243807,369,0.6837722277124361,369,0.7432797,0.7306253
370,hotel_7,2023-06-09,0.8094462540716613,0.8094462540716613,0.7400874694119024,0.8082867631899068,370,0.7456492132596318,370,0.76667297,0.7275303
371,hotel_7,2023-06-10,0.8094462540716613,0.750814332247557,0.6347709056994921,0.7270081556901234,371,0.7883994175312979,371,0.67570525,0.65988904
372,hotel_7,2023-06-11,0.8094462540716613,0.7785016286644951,0.6079002612365114,0.7080671679310537,372,0.6083054824417115,372,0.6652231,0.64879435
373,hotel_7,2023-06-12,0.8094462540716613,0.6237785016286646,0.47326000817339564,0.5797217911384903,373,0.6619485598500753,373,0.4848803,0.5091377
